Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Fluttershy,Development,Task #287246: USB ,"11:30 - 14:00; USB Stick laufwerkebuchstaben und name anzeigen für die Abfrage, Laufwerk funktioniert, name des USB stick noch nicht",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Fluttershy,Development,Task #284576: Meetings,"",29.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-02,Maud Pie,Development,Task #282209: Touch Points Scroll Resize,Custom Containers erstellt - Test folgt,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-01,Applejack,Development,Task #290821: Libov Import,23-3 Uhr; Libov-Import mit PHP,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-01,Applejack,Development,Task #285084: Merkzettel-Bearbeitung,"17-20 Uhr, Beginn Einbindung von Libov",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-01,Twilight Sparkle,Development,Task #286623: Datenbanken Anbindung,"16:30 - 17:30; Gespräch mit Alexander Lausmann, Untersuchung WTO e-Library",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-31,Fluttershy,Development,Task #287246: USB ,"14:00 - 16:00; program1 erkennt alle USB devices und Hubs auf dem rechner und gibt sie auf der Konsole aus, Programm 2 erkennt das an und abmelden des Usb sticks mit laufwerkbuchstaben",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-31,Fluttershy,Development,Task #286623: Datenbanken Anbindung,15:30 - 18:00; mit Herrn Johr CSV Parser für Springer Link,2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-31,Applejack,Development,Task #285084: Merkzettel-Bearbeitung,"16-20 Uhr, Versuche mit dem DataGrid-Layout, leider noch nicht zufriedenstellend",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-31,Twilight Sparkle,Development,Task #286623: Datenbanken Anbindung,15:30 - 18:00; Mit Jerome zusammen CSV Parser für Springer Link erstellt,2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-28,Applejack,Development,Task #233102: Libov,"1-6 Uhr; Libov-Erweiterung (copy, delete, setContent, ...) und Bugfixes (marker); Anpassung an weitere Browser (IE, Firefox, Chrome)",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-28,Fluttershy,Development,Task #287246: USB ,09:00- 10:00 Einarbeitung USB c#/Windows  ,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-28,Maud Pie,Development,Task #284576: Meetings,Anweseheit - wöchentliche Meetings,22.25,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-28,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,"21 - 23 Uhr Einbau und Aktualisierung neuer Methoden, Recherche bezüglich Grid Aktualisierung",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-27,Pinkie Pie,Development,Task #282210: Bluetooth,Bluetooth suche in Thread laufen lassen,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Applejack,Development,Task #241578: LibovExport,5-8 Uhr; Arbeit mit dem DOM-Parser von PHP,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Rainbow Dash,Administrative,Task #284576: Meetings,"",29.05,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,"15-18 Uhr, UI Button Aktualisierung",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Applejack,Development,Task #285084: Merkzettel-Bearbeitung,"15-18 Uhr, 21-22 Uhr: SortBy, UI, Klassen-Upgrading",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Applejack,Development,Task #285084: Merkzettel-Bearbeitung,"11-13 Uhr, 15-19 Uhr - Manager, XML (read, write), Notice",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Applejack,Development,Task #284576: Meetings,Meetings Semester 1,32.25,""
